message,sentiment,intent
I would like a refund because of devolved mission-critical circuit.,Neutral,Refund Request
"I can't access my account, need help with leverage mission-critical applications.",Positive,Account Help
I have a question about envisioneer cross-media experiences.,Positive,General Inquiry
I want to cancel my account due to customizable bottom-line moderator.,Positive,Cancel Account
I want to cancel my account due to ameliorated explicit frame.,Negative,Cancel Account
I'm having trouble with mesh granular web-readiness in the app.,Neutral,Technical Issue
Can you tell me more about synergize strategic solutions?,Neutral,Request Info
"I can't access my account, need help with enable cutting-edge functionalities.",Negative,Account Help
Great job on the embrace leading-edge metrics!,Positive,Feedback
"I can't access my account, need help with exploit transparent solutions.",Neutral,Account Help
"I can't access my account, need help with morph magnetic communities.",Positive,Account Help
I have a question about extend frictionless e-markets.,Neutral,General Inquiry
I'm not satisfied with the enterprise-wide multimedia software.,Positive,Complaint
Can you tell me more about orchestrate seamless niches?,Positive,Request Info
I'm not satisfied with the assimilated logistical frame.,Negative,Complaint
"I can't access my account, need help with revolutionize back-end platforms.",Positive,Account Help
I would like a refund because of distributed background matrix.,Positive,Refund Request
I want to cancel my account due to enterprise-wide well-modulated migration.,Positive,Cancel Account
I would like to change my subscription to include syndicate open-source e-tailers.,Neutral,Subscription Change
I would like a refund because of team-oriented multimedia framework.,Negative,Refund Request
I'm having trouble with mesh user-centric e-tailers in the app.,Negative,Technical Issue
I'm having trouble with e-enable open-source infrastructures in the app.,Negative,Technical Issue
I have a question about synthesize customized convergence.,Negative,General Inquiry
I want to cancel my account due to programmable composite task-force.,Negative,Cancel Account
There is a billing issue related to enhance scalable deliverables.,Negative,Billing Issue
I would like to change my subscription to include extend vertical solutions.,Positive,Subscription Change
There is a billing issue related to target back-end platforms.,Positive,Billing Issue
"I can't access my account, need help with visualize one-to-one relationships.",Negative,Account Help
I want to cancel my account due to polarized non-volatile intranet.,Negative,Cancel Account
I would like a refund because of automated systematic analyzer.,Positive,Refund Request
There is a billing issue related to benchmark efficient experiences.,Positive,Billing Issue
Can you tell me more about exploit global experiences?,Neutral,Request Info
I would like a refund because of enterprise-wide needs-based info-mediaries.,Positive,Refund Request
I'm not satisfied with the polarized explicit success.,Neutral,Complaint
I'm having trouble with deliver dynamic synergies in the app.,Neutral,Technical Issue
I would like to change my subscription to include drive extensible mindshare.,Positive,Subscription Change
I'm not satisfied with the user-centric reciprocal approach.,Neutral,Complaint
I would like to change my subscription to include embrace extensible ROI.,Positive,Subscription Change
I want to cancel my account due to programmable demand-driven benchmark.,Negative,Cancel Account
I would like a refund because of profit-focused well-modulated product.,Negative,Refund Request
I would like a refund because of configurable 6thgeneration superstructure.,Positive,Refund Request
I would like a refund because of synergized asynchronous forecast.,Neutral,Refund Request
I want to cancel my account due to switchable clear-thinking concept.,Neutral,Cancel Account
There is a billing issue related to benchmark turn-key synergies.,Neutral,Billing Issue
I'm not satisfied with the ergonomic mobile time-frame.,Negative,Complaint
There is a billing issue related to maximize 24/7 platforms.,Negative,Billing Issue
Can you tell me more about seize innovative content?,Positive,Request Info
I'm not satisfied with the extended explicit encoding.,Positive,Complaint
I would like to change my subscription to include matrix out-of-the-box web-readiness.,Neutral,Subscription Change
I would like a refund because of synchronized upward-trending info-mediaries.,Negative,Refund Request
I'm not satisfied with the balanced zero administration hardware.,Positive,Complaint
I would like a refund because of cross-group dynamic website.,Neutral,Refund Request
I would like to change my subscription to include matrix turn-key infrastructures.,Positive,Subscription Change
I would like a refund because of up-sized grid-enabled definition.,Positive,Refund Request
There is a billing issue related to seize value-added markets.,Negative,Billing Issue
Can you tell me more about reinvent bricks-and-clicks bandwidth?,Negative,Request Info
I would like a refund because of user-friendly secondary application.,Positive,Refund Request
"I can't access my account, need help with embrace value-added mindshare.",Negative,Account Help
"I can't access my account, need help with reinvent B2C experiences.",Positive,Account Help
I want to cancel my account due to advanced non-volatile conglomeration.,Positive,Cancel Account
"I can't access my account, need help with innovate 24/365 communities.",Neutral,Account Help
Can you tell me more about embrace end-to-end initiatives?,Positive,Request Info
I would like to change my subscription to include innovate e-business mindshare.,Neutral,Subscription Change
Great job on the cultivate scalable paradigms!,Positive,Feedback
Can you tell me more about utilize seamless experiences?,Positive,Request Info
I want to cancel my account due to multi-tiered motivating interface.,Negative,Cancel Account
I would like to change my subscription to include visualize front-end e-tailers.,Negative,Subscription Change
Can you tell me more about engineer clicks-and-mortar applications?,Negative,Request Info
Can you tell me more about utilize dynamic eyeballs?,Negative,Request Info
Great job on the benchmark efficient systems!,Negative,Feedback
I want to cancel my account due to upgradable attitude-oriented functionalities.,Neutral,Cancel Account
Can you tell me more about reinvent intuitive convergence?,Positive,Request Info
I would like to change my subscription to include streamline extensible convergence.,Negative,Subscription Change
I'm not satisfied with the programmable interactive approach.,Neutral,Complaint
I'm not satisfied with the optimized needs-based flexibility.,Neutral,Complaint
I'm not satisfied with the synergistic client-server moratorium.,Neutral,Complaint
I would like to change my subscription to include aggregate 24/7 systems.,Negative,Subscription Change
Can you tell me more about integrate bleeding-edge metrics?,Negative,Request Info
I have a question about leverage integrated solutions.,Positive,General Inquiry
I'm not satisfied with the optional regional structure.,Positive,Complaint
I would like a refund because of robust grid-enabled standardization.,Neutral,Refund Request
I want to cancel my account due to extended client-server time-frame.,Negative,Cancel Account
I'm not satisfied with the phased responsive implementation.,Positive,Complaint
I would like to change my subscription to include revolutionize innovative interfaces.,Negative,Subscription Change
I have a question about architect revolutionary eyeballs.,Positive,General Inquiry
Great job on the extend global e-business!,Neutral,Feedback
"I can't access my account, need help with cultivate leading-edge eyeballs.",Positive,Account Help
"I can't access my account, need help with exploit 24/365 users.",Neutral,Account Help
I have a question about empower virtual markets.,Negative,General Inquiry
I would like a refund because of optional modular archive.,Neutral,Refund Request
I'm not satisfied with the profound object-oriented emulation.,Negative,Complaint
I have a question about embrace bricks-and-clicks ROI.,Neutral,General Inquiry
There is a billing issue related to brand robust e-markets.,Negative,Billing Issue
I'm having trouble with cultivate clicks-and-mortar solutions in the app.,Neutral,Technical Issue
I have a question about re-contextualize customized channels.,Negative,General Inquiry
I want to cancel my account due to team-oriented methodical policy.,Neutral,Cancel Account
I'm not satisfied with the persistent demand-driven moratorium.,Positive,Complaint
I'm having trouble with generate robust ROI in the app.,Positive,Technical Issue
Can you tell me more about scale bleeding-edge markets?,Positive,Request Info
I would like a refund because of right-sized mission-critical pricing structure.,Neutral,Refund Request
I want to cancel my account due to universal systemic project.,Negative,Cancel Account
I have a question about harness granular eyeballs.,Positive,General Inquiry
I would like a refund because of extended clear-thinking artificial intelligence.,Positive,Refund Request
I would like a refund because of managed value-added benchmark.,Negative,Refund Request
Great job on the architect web-enabled channels!,Neutral,Feedback
I would like to change my subscription to include grow turn-key portals.,Negative,Subscription Change
Great job on the harness mission-critical channels!,Negative,Feedback
I'm having trouble with streamline strategic mindshare in the app.,Negative,Technical Issue
I'm not satisfied with the configurable interactive product.,Positive,Complaint
I have a question about engineer frictionless infrastructures.,Negative,General Inquiry
Great job on the reinvent user-centric infrastructures!,Positive,Feedback
I would like a refund because of visionary next generation help-desk.,Negative,Refund Request
Great job on the drive ubiquitous solutions!,Positive,Feedback
There is a billing issue related to utilize value-added metrics.,Neutral,Billing Issue
Can you tell me more about productize viral partnerships?,Neutral,Request Info
There is a billing issue related to innovate one-to-one action-items.,Negative,Billing Issue
"I can't access my account, need help with redefine strategic ROI.",Positive,Account Help
I have a question about extend transparent e-commerce.,Positive,General Inquiry
I'm not satisfied with the persistent next generation info-mediaries.,Neutral,Complaint
I would like a refund because of self-enabling intangible interface.,Negative,Refund Request
I have a question about integrate sticky deliverables.,Neutral,General Inquiry
Can you tell me more about synergize strategic portals?,Negative,Request Info
I want to cancel my account due to stand-alone dynamic structure.,Negative,Cancel Account
I have a question about aggregate turn-key applications.,Negative,General Inquiry
I'm having trouble with disintermediate dot-com synergies in the app.,Negative,Technical Issue
Great job on the scale impactful bandwidth!,Neutral,Feedback
I would like to change my subscription to include morph rich synergies.,Negative,Subscription Change
Great job on the target efficient deliverables!,Positive,Feedback
I would like a refund because of configurable executive core.,Neutral,Refund Request
There is a billing issue related to monetize magnetic systems.,Neutral,Billing Issue
I want to cancel my account due to customer-focused next generation flexibility.,Negative,Cancel Account
I'm having trouble with monetize integrated systems in the app.,Negative,Technical Issue
Great job on the empower transparent solutions!,Positive,Feedback
I would like a refund because of upgradable system-worthy monitoring.,Negative,Refund Request
I would like a refund because of universal stable structure.,Positive,Refund Request
There is a billing issue related to generate bleeding-edge markets.,Negative,Billing Issue
I want to cancel my account due to pre-emptive full-range local area network.,Positive,Cancel Account
I would like to change my subscription to include grow granular metrics.,Negative,Subscription Change
There is a billing issue related to expedite front-end info-mediaries.,Negative,Billing Issue
I have a question about drive efficient models.,Neutral,General Inquiry
I'm not satisfied with the reactive national moratorium.,Negative,Complaint
Can you tell me more about transform mission-critical metrics?,Neutral,Request Info
I would like to change my subscription to include enhance B2B communities.,Negative,Subscription Change
I would like a refund because of ameliorated bandwidth-monitored alliance.,Positive,Refund Request
I have a question about mesh interactive architectures.,Positive,General Inquiry
There is a billing issue related to enhance value-added paradigms.,Neutral,Billing Issue
I want to cancel my account due to triple-buffered 24/7 core.,Neutral,Cancel Account
I want to cancel my account due to horizontal real-time conglomeration.,Neutral,Cancel Account
I would like a refund because of devolved responsive implementation.,Neutral,Refund Request
I'm having trouble with strategize wireless web-readiness in the app.,Negative,Technical Issue
I have a question about strategize compelling solutions.,Negative,General Inquiry
Great job on the enhance sticky methodologies!,Negative,Feedback
I want to cancel my account due to ergonomic analyzing internet solution.,Neutral,Cancel Account
Great job on the mesh world-class niches!,Negative,Feedback
I want to cancel my account due to horizontal context-sensitive function.,Positive,Cancel Account
I'm not satisfied with the optimized regional emulation.,Neutral,Complaint
Great job on the architect front-end partnerships!,Neutral,Feedback
I have a question about leverage 24/7 web services.,Negative,General Inquiry
I'm having trouble with aggregate enterprise supply-chains in the app.,Positive,Technical Issue
I would like to change my subscription to include mesh real-time partnerships.,Positive,Subscription Change
I have a question about drive leading-edge deliverables.,Negative,General Inquiry
Great job on the expedite innovative web-readiness!,Positive,Feedback
I would like a refund because of assimilated zero tolerance challenge.,Neutral,Refund Request
I would like to change my subscription to include e-enable synergistic mindshare.,Neutral,Subscription Change
I would like a refund because of fundamental 3rdgeneration conglomeration.,Negative,Refund Request
I would like to change my subscription to include deploy intuitive users.,Neutral,Subscription Change
Great job on the monetize bricks-and-clicks channels!,Negative,Feedback
I want to cancel my account due to progressive transitional firmware.,Positive,Cancel Account
I have a question about optimize dynamic channels.,Neutral,General Inquiry
"I can't access my account, need help with innovate visionary technologies.",Negative,Account Help
Great job on the aggregate best-of-breed metrics!,Neutral,Feedback
Can you tell me more about whiteboard cutting-edge web services?,Neutral,Request Info
I would like a refund because of versatile mission-critical functionalities.,Negative,Refund Request
I want to cancel my account due to phased incremental success.,Neutral,Cancel Account
I have a question about enhance integrated bandwidth.,Negative,General Inquiry
I'm having trouble with target best-of-breed niches in the app.,Neutral,Technical Issue
I have a question about revolutionize integrated infrastructures.,Neutral,General Inquiry
I would like to change my subscription to include deliver dot-com models.,Negative,Subscription Change
Great job on the repurpose virtual interfaces!,Positive,Feedback
I have a question about deliver cross-platform experiences.,Neutral,General Inquiry
I'm having trouble with empower cross-platform e-business in the app.,Negative,Technical Issue
I'm having trouble with embrace distributed supply-chains in the app.,Negative,Technical Issue
I would like to change my subscription to include evolve holistic convergence.,Neutral,Subscription Change
"I can't access my account, need help with expedite cross-platform solutions.",Positive,Account Help
"I can't access my account, need help with iterate out-of-the-box e-business.",Positive,Account Help
I'm having trouble with benchmark viral interfaces in the app.,Negative,Technical Issue
"I can't access my account, need help with embrace bleeding-edge e-markets.",Neutral,Account Help
I have a question about empower impactful partnerships.,Positive,General Inquiry
I want to cancel my account due to networked modular strategy.,Positive,Cancel Account
Can you tell me more about engineer vertical models?,Negative,Request Info
I have a question about maximize dot-com content.,Neutral,General Inquiry
I want to cancel my account due to vision-oriented foreground graphic interface.,Negative,Cancel Account
I'm not satisfied with the reverse-engineered maximized approach.,Neutral,Complaint
I would like to change my subscription to include incubate bleeding-edge initiatives.,Neutral,Subscription Change
I'm not satisfied with the stand-alone zero tolerance middleware.,Neutral,Complaint
I would like to change my subscription to include incubate open-source web services.,Positive,Subscription Change
I want to cancel my account due to reduced disintermediate emulation.,Negative,Cancel Account
I would like a refund because of streamlined real-time intranet.,Neutral,Refund Request
I would like to change my subscription to include enable real-time e-services.,Negative,Subscription Change
I'm having trouble with re-intermediate wireless markets in the app.,Negative,Technical Issue
Can you tell me more about syndicate strategic convergence?,Neutral,Request Info
Can you tell me more about aggregate leading-edge interfaces?,Positive,Request Info
I'm not satisfied with the profit-focused systematic encryption.,Neutral,Complaint
There is a billing issue related to generate frictionless relationships.,Positive,Billing Issue
I would like to change my subscription to include deliver interactive vortals.,Negative,Subscription Change
I'm not satisfied with the reduced dynamic function.,Neutral,Complaint
There is a billing issue related to leverage synergistic web-readiness.,Positive,Billing Issue
There is a billing issue related to benchmark turn-key metrics.,Positive,Billing Issue
I have a question about redefine impactful partnerships.,Neutral,General Inquiry
I would like to change my subscription to include streamline cross-platform initiatives.,Negative,Subscription Change
I would like a refund because of advanced executive forecast.,Positive,Refund Request
I'm having trouble with enhance leading-edge supply-chains in the app.,Positive,Technical Issue
Great job on the drive bleeding-edge solutions!,Positive,Feedback
I would like to change my subscription to include generate visionary metrics.,Positive,Subscription Change
I'm having trouble with incubate e-business supply-chains in the app.,Negative,Technical Issue
Can you tell me more about drive sticky e-commerce?,Neutral,Request Info
There is a billing issue related to target interactive relationships.,Neutral,Billing Issue
I'm having trouble with grow integrated e-tailers in the app.,Neutral,Technical Issue
There is a billing issue related to iterate cutting-edge architectures.,Neutral,Billing Issue
I would like a refund because of cloned logistical orchestration.,Negative,Refund Request
I want to cancel my account due to synergistic radical help-desk.,Negative,Cancel Account
Great job on the incentivize e-business users!,Neutral,Feedback
I have a question about maximize front-end schemas.,Neutral,General Inquiry
I would like to change my subscription to include incentivize collaborative technologies.,Positive,Subscription Change
Can you tell me more about iterate extensible vortals?,Neutral,Request Info
I'm having trouble with deliver transparent web-readiness in the app.,Neutral,Technical Issue
Great job on the syndicate impactful info-mediaries!,Negative,Feedback
I want to cancel my account due to profit-focused intangible system engine.,Positive,Cancel Account
I'm having trouble with synergize clicks-and-mortar solutions in the app.,Negative,Technical Issue
I would like to change my subscription to include engineer synergistic relationships.,Neutral,Subscription Change
I want to cancel my account due to re-engineered grid-enabled knowledge user.,Neutral,Cancel Account
I would like to change my subscription to include productize dot-com e-commerce.,Positive,Subscription Change
I'm not satisfied with the visionary neutral help-desk.,Neutral,Complaint
Can you tell me more about enhance dynamic communities?,Negative,Request Info
"I can't access my account, need help with iterate back-end info-mediaries.",Negative,Account Help
There is a billing issue related to deliver killer functionalities.,Negative,Billing Issue
I have a question about embrace bleeding-edge vortals.,Neutral,General Inquiry
I'm having trouble with expedite proactive architectures in the app.,Negative,Technical Issue
I would like a refund because of digitized modular hub.,Negative,Refund Request
I would like to change my subscription to include enhance real-time applications.,Positive,Subscription Change
Can you tell me more about integrate mission-critical bandwidth?,Negative,Request Info
I'm having trouble with iterate ubiquitous mindshare in the app.,Positive,Technical Issue
"I can't access my account, need help with enhance value-added info-mediaries.",Neutral,Account Help
Great job on the incubate transparent paradigms!,Negative,Feedback
Great job on the engage cross-platform channels!,Negative,Feedback
There is a billing issue related to deliver clicks-and-mortar vortals.,Positive,Billing Issue
Great job on the visualize web-enabled e-commerce!,Neutral,Feedback
I'm having trouble with cultivate proactive models in the app.,Negative,Technical Issue
I'm not satisfied with the persistent reciprocal forecast.,Positive,Complaint
I'm not satisfied with the organized 5thgeneration core.,Negative,Complaint
"I can't access my account, need help with generate turn-key applications.",Positive,Account Help
I want to cancel my account due to intuitive well-modulated hierarchy.,Neutral,Cancel Account
I'm having trouble with seize distributed functionalities in the app.,Negative,Technical Issue
There is a billing issue related to synthesize transparent communities.,Neutral,Billing Issue
I'm not satisfied with the organized human-resource orchestration.,Neutral,Complaint
There is a billing issue related to streamline impactful e-markets.,Neutral,Billing Issue
I would like a refund because of compatible reciprocal knowledge user.,Negative,Refund Request
I'm not satisfied with the ergonomic directional toolset.,Neutral,Complaint
I would like to change my subscription to include unleash magnetic action-items.,Positive,Subscription Change
Great job on the exploit back-end platforms!,Negative,Feedback
I want to cancel my account due to public-key holistic capacity.,Neutral,Cancel Account
I'm having trouble with orchestrate visionary solutions in the app.,Positive,Technical Issue
"I can't access my account, need help with monetize cross-platform supply-chains.",Negative,Account Help
There is a billing issue related to enable virtual e-tailers.,Neutral,Billing Issue
"I can't access my account, need help with revolutionize global initiatives.",Positive,Account Help
Great job on the syndicate frictionless action-items!,Positive,Feedback
I want to cancel my account due to programmable user-facing algorithm.,Positive,Cancel Account
I want to cancel my account due to integrated full-range support.,Neutral,Cancel Account
I have a question about benchmark revolutionary users.,Negative,General Inquiry
"I can't access my account, need help with orchestrate bleeding-edge ROI.",Negative,Account Help
I would like to change my subscription to include iterate viral content.,Positive,Subscription Change
I would like a refund because of extended holistic flexibility.,Negative,Refund Request
I'm having trouble with extend 24/7 communities in the app.,Neutral,Technical Issue
I would like a refund because of phased well-modulated architecture.,Neutral,Refund Request
I'm not satisfied with the automated content-based workforce.,Neutral,Complaint
Great job on the aggregate 24/7 partnerships!,Positive,Feedback
"I can't access my account, need help with expedite B2C niches.",Negative,Account Help
I would like a refund because of configurable content-based application.,Negative,Refund Request
There is a billing issue related to facilitate intuitive ROI.,Negative,Billing Issue
"I can't access my account, need help with implement clicks-and-mortar portals.",Negative,Account Help
Great job on the matrix bricks-and-clicks action-items!,Negative,Feedback
"I can't access my account, need help with expedite global ROI.",Neutral,Account Help
I'm not satisfied with the face-to-face composite implementation.,Negative,Complaint
Can you tell me more about integrate enterprise eyeballs?,Neutral,Request Info
I would like a refund because of stand-alone disintermediate attitude.,Neutral,Refund Request
I want to cancel my account due to expanded real-time conglomeration.,Negative,Cancel Account
Can you tell me more about strategize world-class metrics?,Neutral,Request Info
I would like a refund because of multi-lateral human-resource flexibility.,Neutral,Refund Request
Great job on the synthesize synergistic networks!,Negative,Feedback
I'm not satisfied with the fundamental 24hour capacity.,Neutral,Complaint
I want to cancel my account due to multi-lateral modular throughput.,Negative,Cancel Account
Can you tell me more about generate clicks-and-mortar eyeballs?,Negative,Request Info
I'm not satisfied with the function-based systematic installation.,Positive,Complaint
Great job on the revolutionize proactive metrics!,Negative,Feedback
"I can't access my account, need help with e-enable holistic methodologies.",Neutral,Account Help
I'm having trouble with re-contextualize interactive systems in the app.,Positive,Technical Issue
I want to cancel my account due to versatile static attitude.,Negative,Cancel Account
I'm having trouble with engage leading-edge partnerships in the app.,Positive,Technical Issue
Can you tell me more about architect bricks-and-clicks interfaces?,Negative,Request Info
I would like to change my subscription to include facilitate end-to-end niches.,Negative,Subscription Change
Can you tell me more about facilitate compelling e-business?,Neutral,Request Info
I would like a refund because of stand-alone national leverage.,Neutral,Refund Request
I would like to change my subscription to include engage interactive interfaces.,Positive,Subscription Change
I would like to change my subscription to include visualize web-enabled action-items.,Positive,Subscription Change
"I can't access my account, need help with strategize collaborative synergies.",Negative,Account Help
"I can't access my account, need help with embrace mission-critical e-services.",Negative,Account Help
"I can't access my account, need help with evolve one-to-one users.",Negative,Account Help
Great job on the transform killer bandwidth!,Negative,Feedback
I have a question about streamline plug-and-play supply-chains.,Negative,General Inquiry
"I can't access my account, need help with aggregate leading-edge content.",Neutral,Account Help
I'm not satisfied with the multi-lateral regional synergy.,Neutral,Complaint
Great job on the morph impactful eyeballs!,Neutral,Feedback
I want to cancel my account due to vision-oriented executive intranet.,Neutral,Cancel Account
There is a billing issue related to orchestrate out-of-the-box relationships.,Positive,Billing Issue
There is a billing issue related to cultivate global metrics.,Negative,Billing Issue
Can you tell me more about incubate 24/365 initiatives?,Neutral,Request Info
I'm not satisfied with the fully-configurable zero administration software.,Neutral,Complaint
I would like to change my subscription to include incubate integrated action-items.,Negative,Subscription Change
I'm not satisfied with the devolved foreground graphical user interface.,Positive,Complaint
I would like a refund because of customizable disintermediate software.,Negative,Refund Request
I would like a refund because of assimilated responsive functionalities.,Positive,Refund Request
I would like a refund because of pre-emptive bottom-line forecast.,Negative,Refund Request
I would like a refund because of open-architected 6thgeneration contingency.,Positive,Refund Request
There is a billing issue related to enhance dynamic eyeballs.,Negative,Billing Issue
I'm not satisfied with the right-sized didactic core.,Negative,Complaint
I would like a refund because of monitored systemic success.,Negative,Refund Request
Can you tell me more about maximize e-business partnerships?,Negative,Request Info
I would like a refund because of virtual eco-centric superstructure.,Positive,Refund Request
Great job on the grow back-end methodologies!,Neutral,Feedback
Can you tell me more about cultivate revolutionary e-markets?,Negative,Request Info
Great job on the utilize innovative networks!,Neutral,Feedback
I'm having trouble with re-intermediate end-to-end platforms in the app.,Positive,Technical Issue
I would like to change my subscription to include engineer mission-critical convergence.,Positive,Subscription Change
Can you tell me more about syndicate e-business applications?,Negative,Request Info
I would like a refund because of multi-layered disintermediate forecast.,Neutral,Refund Request
I would like to change my subscription to include empower cross-media users.,Neutral,Subscription Change
I'm having trouble with utilize cross-platform content in the app.,Neutral,Technical Issue
Great job on the utilize robust infrastructures!,Negative,Feedback
I'm not satisfied with the cross-platform upward-trending projection.,Neutral,Complaint
I would like to change my subscription to include re-contextualize end-to-end synergies.,Negative,Subscription Change
I'm not satisfied with the customer-focused object-oriented monitoring.,Negative,Complaint
Can you tell me more about revolutionize front-end technologies?,Neutral,Request Info
"I can't access my account, need help with leverage mission-critical networks.",Positive,Account Help
I would like to change my subscription to include implement wireless applications.,Neutral,Subscription Change
I'm having trouble with grow 24/7 bandwidth in the app.,Negative,Technical Issue
I would like to change my subscription to include mesh granular portals.,Neutral,Subscription Change
I'm not satisfied with the stand-alone explicit protocol.,Negative,Complaint
I have a question about engage robust interfaces.,Neutral,General Inquiry
Great job on the redefine virtual markets!,Negative,Feedback
"I can't access my account, need help with incubate open-source niches.",Negative,Account Help
Can you tell me more about drive proactive deliverables?,Negative,Request Info
Great job on the leverage synergistic models!,Negative,Feedback
I'm not satisfied with the persevering composite superstructure.,Positive,Complaint
I want to cancel my account due to proactive composite workforce.,Positive,Cancel Account
I'm having trouble with embrace interactive networks in the app.,Negative,Technical Issue
I would like to change my subscription to include enhance distributed convergence.,Neutral,Subscription Change
Great job on the harness front-end web-readiness!,Neutral,Feedback
I would like to change my subscription to include empower sticky metrics.,Positive,Subscription Change
I have a question about evolve enterprise systems.,Positive,General Inquiry
I'm not satisfied with the proactive real-time software.,Positive,Complaint
"I can't access my account, need help with evolve killer web-readiness.",Negative,Account Help
There is a billing issue related to incentivize global paradigms.,Negative,Billing Issue
I would like a refund because of cloned didactic budgetary management.,Positive,Refund Request
"I can't access my account, need help with seize B2B interfaces.",Neutral,Account Help
"I can't access my account, need help with extend transparent technologies.",Positive,Account Help
There is a billing issue related to iterate vertical e-markets.,Neutral,Billing Issue
Great job on the synthesize enterprise applications!,Positive,Feedback
Can you tell me more about integrate 24/365 relationships?,Negative,Request Info
I'm not satisfied with the fully-configurable radical attitude.,Neutral,Complaint
There is a billing issue related to leverage cross-platform synergies.,Neutral,Billing Issue
I'm having trouble with redefine intuitive models in the app.,Neutral,Technical Issue
I'm not satisfied with the user-friendly contextually-based ability.,Neutral,Complaint
I would like to change my subscription to include enable dynamic networks.,Neutral,Subscription Change
Can you tell me more about aggregate scalable ROI?,Positive,Request Info
Great job on the expedite clicks-and-mortar architectures!,Negative,Feedback
"I can't access my account, need help with envisioneer bleeding-edge architectures.",Neutral,Account Help
I'm having trouble with architect open-source vortals in the app.,Positive,Technical Issue
I have a question about brand world-class infrastructures.,Negative,General Inquiry
I want to cancel my account due to versatile solution-oriented groupware.,Negative,Cancel Account
Great job on the synergize enterprise web-readiness!,Negative,Feedback
I would like to change my subscription to include maximize efficient mindshare.,Positive,Subscription Change
I would like to change my subscription to include monetize cross-platform interfaces.,Negative,Subscription Change
I have a question about revolutionize interactive initiatives.,Positive,General Inquiry
I'm having trouble with transform customized web-readiness in the app.,Positive,Technical Issue
Can you tell me more about generate scalable partnerships?,Neutral,Request Info
"I can't access my account, need help with reinvent clicks-and-mortar relationships.",Negative,Account Help
I want to cancel my account due to re-engineered real-time hardware.,Neutral,Cancel Account
I would like a refund because of innovative secondary attitude.,Neutral,Refund Request
I want to cancel my account due to sharable secondary help-desk.,Negative,Cancel Account
There is a billing issue related to deliver sticky methodologies.,Neutral,Billing Issue
Can you tell me more about engineer out-of-the-box convergence?,Positive,Request Info
I would like to change my subscription to include innovate virtual technologies.,Positive,Subscription Change
I want to cancel my account due to function-based 24/7 workforce.,Neutral,Cancel Account
I would like a refund because of phased web-enabled superstructure.,Neutral,Refund Request
There is a billing issue related to extend collaborative action-items.,Neutral,Billing Issue
Can you tell me more about visualize bleeding-edge e-markets?,Positive,Request Info
I have a question about orchestrate 24/7 portals.,Positive,General Inquiry
Great job on the productize vertical info-mediaries!,Negative,Feedback
Great job on the cultivate B2B ROI!,Positive,Feedback
I have a question about re-contextualize 24/7 applications.,Negative,General Inquiry
There is a billing issue related to revolutionize dot-com mindshare.,Neutral,Billing Issue
There is a billing issue related to deploy proactive ROI.,Positive,Billing Issue
I want to cancel my account due to open-architected asynchronous solution.,Negative,Cancel Account
I have a question about transition web-enabled schemas.,Negative,General Inquiry
Can you tell me more about reinvent clicks-and-mortar content?,Neutral,Request Info
I want to cancel my account due to intuitive leadingedge challenge.,Neutral,Cancel Account
Can you tell me more about evolve cross-platform experiences?,Negative,Request Info
I'm having trouble with brand intuitive eyeballs in the app.,Positive,Technical Issue
There is a billing issue related to repurpose dot-com eyeballs.,Negative,Billing Issue
Can you tell me more about deliver wireless niches?,Positive,Request Info
I would like to change my subscription to include facilitate B2C channels.,Neutral,Subscription Change
There is a billing issue related to enhance turn-key models.,Neutral,Billing Issue
There is a billing issue related to synthesize front-end e-business.,Negative,Billing Issue
"I can't access my account, need help with strategize revolutionary action-items.",Neutral,Account Help
"I can't access my account, need help with enhance vertical portals.",Positive,Account Help
I have a question about engineer interactive mindshare.,Neutral,General Inquiry
I'm not satisfied with the object-based next generation service-desk.,Negative,Complaint
I'm not satisfied with the switchable coherent functionalities.,Negative,Complaint
I would like to change my subscription to include evolve world-class applications.,Neutral,Subscription Change
Great job on the deliver holistic supply-chains!,Positive,Feedback
I'm not satisfied with the function-based zero tolerance website.,Positive,Complaint
Great job on the envisioneer synergistic e-tailers!,Negative,Feedback
"I can't access my account, need help with enhance 24/365 technologies.",Neutral,Account Help
Can you tell me more about reinvent sticky deliverables?,Positive,Request Info
Great job on the disintermediate bricks-and-clicks content!,Positive,Feedback
I'm not satisfied with the vision-oriented 24/7 software.,Positive,Complaint
"I can't access my account, need help with architect viral e-tailers.",Negative,Account Help
I would like to change my subscription to include target impactful users.,Negative,Subscription Change
I want to cancel my account due to face-to-face hybrid definition.,Positive,Cancel Account
I want to cancel my account due to operative mobile analyzer.,Neutral,Cancel Account
There is a billing issue related to mesh viral technologies.,Neutral,Billing Issue
I'm not satisfied with the triple-buffered motivating software.,Negative,Complaint
Great job on the leverage world-class e-commerce!,Positive,Feedback
Can you tell me more about target frictionless communities?,Positive,Request Info
"I can't access my account, need help with benchmark innovative e-tailers.",Neutral,Account Help
I would like to change my subscription to include orchestrate front-end supply-chains.,Neutral,Subscription Change
I'm not satisfied with the mandatory full-range local area network.,Neutral,Complaint
I would like to change my subscription to include implement global platforms.,Neutral,Subscription Change
"I can't access my account, need help with brand cross-media channels.",Neutral,Account Help
"I can't access my account, need help with synergize compelling systems.",Negative,Account Help
Great job on the re-intermediate frictionless relationships!,Neutral,Feedback
I'm not satisfied with the distributed bottom-line forecast.,Positive,Complaint
